Timestamp(KST),BTC_Price($),1m_Rolling_Liq($),1m_Long_Liq($),1m_Short_Liq($),Liq_Threshold($),1m_OI_Speed(%),OI_Speed_Threshold(%),5s_Price_Delta($),1m_Price_Delta($),1m_Price_Slope,Signal,Bot_State
"=""2026-08-28 22:28:11""",79252,4061004,2748883,1312120,1000000,-0.3058,0.15,7.6,127.7,2.1198,SHORT,STOPPED
"=""2026-08-28 22:28:12""",79251,1270060,536300,733759,1000000,-0.3058,0.15,-0.0,127.7,2.0704,SHORT,STOPPED
"=""2026-08-28 23:03:15""",78960,14783587,11655501,3128085,1400000,0.191,0.18,35.5,-15.6,1.7295,LONG,STOPPED
"=""2026-08-28 23:03:18""",78984,10997877,8075010,2922867,1400000,0.1878,0.18,47.3,9.1,1.9836,LONG,STOPPED
"=""2026-08-28 23:03:19""",79008,10997163,8040801,2956362,1400000,0.1878,0.18,66.6,33.2,2.092,LONG,STOPPED
"=""2026-08-28 23:03:20""",79008,11009609,7992346,3017262,1400000,0.1874,0.18,66.6,39.0,2.1634,LONG,STOPPED
"=""2026-08-28 23:03:24""",79002,7017328,4722914,2294414,1400000,0.2697,0.18,-5.9,179.3,2.6643,LONG,STOPPED
"=""2026-08-28 23:03:25""",79012,6922536,4673101,2249434,1400000,0.2697,0.18,-17.9,204.1,2.6559,LONG,STOPPED
"=""2026-08-28 23:03:26""",79010,6241505,4080741,2160764,1400000,0.2697,0.18,-18.5,205.7,2.6177,LONG,STOPPED
"=""2026-08-28 23:03:27""",79024,6072036,4011889,2060146,1400000,0.2926,0.18,12.2,211.7,2.6222,LONG,STOPPED
"=""2026-08-28 23:03:28""",79006,5857119,4001280,1855839,1400000,0.2926,0.18,10.3,206.1,2.5466,LONG,STOPPED
"=""2026-08-28 23:03:29""",79006,5104685,3318551,1786133,1400000,0.2905,0.18,10.3,206.1,2.5466,LONG,STOPPED
"=""2026-08-28 23:03:30""",78992,4027638,2227661,1799976,1400000,0.2905,0.18,-10.1,213.8,2.402,LONG,STOPPED
"=""2026-08-28 23:03:31""",79027,3810113,2010136,1799976,1400000,0.2612,0.18,18.0,200.4,2.2866,LONG,STOPPED
"=""2026-08-28 23:03:32""",79002,3797858,2010136,1787722,1400000,0.2575,0.18,-22.0,165.2,2.1803,LONG,STOPPED
"=""2026-08-28 23:03:33""",79002,3607974,1929296,1678678,1400000,0.2575,0.18,-3.9,112.2,2.0776,LONG,STOPPED
"=""2026-08-28 23:03:34""",78976,3489676,1941230,1548445,1400000,0.2971,0.18,-15.9,121.7,1.9038,LONG,STOPPED
"=""2026-08-28 23:03:35""",78973,3387268,1890916,1496351,1400000,0.2942,0.18,-32.5,153.6,1.7063,LONG,STOPPED
"=""2026-08-28 23:03:36""",78970,3283425,1787073,1496351,1400000,0.2942,0.18,-58.0,98.0,1.4831,LONG,STOPPED
"=""2026-08-28 23:03:37""",78972,3211701,1787073,1424627,1400000,0.2734,0.18,-29.6,90.5,1.3118,LONG,STOPPED
"=""2026-08-28 23:03:38""",78972,3197166,1787073,1410093,1400000,0.2734,0.18,-29.6,90.5,1.3118,LONG,STOPPED
